Frecuencia (MHz)	DSP (Lineal)
3.9790	0.000033
3.9985	0.000051
4.0180	0.000035
4.0375	0.000236
4.0570	0.000292
4.0765	0.000052
4.0960	0.000040
4.1155	0.000039
4.1350	0.000045
4.1545	0.000299
4.1740	0.000211
4.1935	0.000001
4.2130	0.000114
4.2325	0.000045
4.2520	0.000053
4.2715	0.000234
4.2910	0.000061
4.3106	0.000060
4.3301	0.000230
4.3496	0.000052
4.3691	0.000043
4.3886	0.000109
4.4081	0.000001
4.4276	0.000197
4.4471	0.000277
4.4666	0.000041
4.4861	0.000036
4.5056	0.000036
4.5251	0.000046
4.5446	0.000257
4.5641	0.000205
4.5836	0.000030
4.6031	0.000044
4.6226	0.000028
4.6421	0.000081
4.6616	0.000175
4.6811	0.000090
4.7006	0.000027
4.7202	0.000039
4.7397	0.000023
4.7592	0.000046
4.7787	0.000053
4.7982	0.000018
4.8177	0.000012
4.8372	0.000011
4.8567	0.000004
4.8762	0.000003
4.8957	0.000001
4.9152	0.000000
4.9347	0.000001
4.9542	0.000003
4.9737	0.000004
4.9932	0.000010
5.0127	0.000012
5.0322	0.000018
5.0517	0.000051
5.0712	0.000043
5.0907	0.000022
5.1102	0.000037
5.1298	0.000025
5.1493	0.000083
5.1688	0.000161
5.1883	0.000074
5.2078	0.000025
5.2273	0.000039
5.2468	0.000027
5.2663	0.000183
5.2858	0.000227
5.3053	0.000041
5.3248	0.000032
5.3443	0.000031
5.3638	0.000035
5.3833	0.000237
5.4028	0.000168
5.4223	0.000001
5.4418	0.000091
5.4613	0.000036
5.4808	0.000043
5.5003	0.000189
5.5198	0.000049
5.5394	0.000049
5.5589	0.000188
5.5784	0.000043
5.5979	0.000036
5.6174	0.000090
5.6369	0.000001
5.6564	0.000164
5.6759	0.000231
5.6954	0.000034
5.7149	0.000030
5.7344	0.000031
5.7539	0.000039
5.7734	0.000218
5.7929	0.000175
5.8124	0.000026
5.8319	0.000038
5.8514	0.000024
5.8709	0.000070
5.8904	0.000152
5.9099	0.000078
5.9294	0.000023
5.9490	0.000034
5.9685	0.000020
5.9880	0.000040
6.0075	0.000047
6.0270	0.000016
6.0465	0.000011
6.0660	0.000009
6.0855	0.000003
6.1050	0.000003
6.1245	0.000001
